"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","ks.p"
"LOC",1564348,138.585046066619,276.703613826828,76564.8899048264,2,25,62,146,8253,9.69567081779073,174.305636615537,0
"CCMax",71184,6.30616583982991,12.9849054363475,168.607769190888,0,2,4,7,819,29.3317820366995,1522.9611092636,0
"CCSum",338646,30.0005315379164,62.6471101128695,3924.660405494,0,5,13,31,1896,9.3298728479937,160.426131627745,0
"n1",1181542,104.67239546421,205.053172677894,42046.8036252704,0,21,52,114,9480,14.0017196375755,459.425383438095,0
"n2",1455038,128.90131112686,248.445670834652,61725.2513564805,0,20,56,138,6021,7.77576004918365,113.447859033522,0
"n",2636580,233.57370659107,444.864222596204,197904.176546125,0,42,109,253,14486,9.25076530089151,176.894464099845,0
"N1",4434755,392.873405386251,909.239806828754,826717.02632199,0,45,146,390,26195,9.63131236675768,161.731872431676,0
"N2",3025546,268.032069454288,597.349481291204,356826.402798871,0,32,99,271,14314,8.62170469979966,127.991477798861,0
"N",7460301,660.905474840539,1503.16964147137,2259518.97104117,0,77,244,663,40509,9.13984645317702,144.502277984335,0
"V",40643137.276387,3600.56141711437,8859.71521286673,78494553.6531022,0,324.254513025,1178.9811445,3454.95689975,265762.0777,9.94484246485586,172.37522481783,0
"L",27249.969435809,2.41406532918223,12.4499607466564,155.001522593286,0,0.445367677,0.983022822,2.109329692,890.3816428,43.6352942694875,2634.22378765802,0
"D",719208.804580128,63.7144582370773,117.52907117637,13813.0825715803,0,11.8112993475,31.143056355,69.51427156,3414.218437,8.0925428671813,129.385905399693,0
"E",570639084.997928,50552.7183733104,210960.442602705,44504308343.129,0,1758.840988,9515.8557815,35910.858385,7947481.248,18.1680503377562,498.753752345386,0
"T",1761231.74380253,156.026908557984,651.112477148067,423947.457897892,0,5.428521567,29.36992525,110.835982675,24529.26311,18.1680503364711,498.75375226381,0
"WMC",338646,30.0005315379164,62.6471101128695,3924.660405494,0,5,13,31,1896,9.3298728479937,160.426131627745,0
"DIT",26048,2.30758327427356,1.39903619799854,1.9573022833102,1,1,2,3,9,1.14371955114322,4.06967401627188,0
"NOC",7802,0.691176470588235,5.54012275556771,30.6929601467591,0,0,0,0,396,41.1874644794431,2514.02553910877,0
"CBO",169584,15.0233876683203,16.4568854882395,270.829079973028,0,4,10,20,222,2.9279761647606,18.1451699449337,0
"RFC",3497985,309.885276399717,515.840229886088,266091.142768932,11,31,109,431,5224,4.2240629747434,27.1425546384254,0
"LCOM",2255815,199.84186746988,3714.76944921793,13799512.0608429,0,2,14,63,365940,86.4606227474839,8358.94299246194,0
"Size",153960,13.6392629340893,41.3899197997767,1713.12546103195,0,3,7,14,1479,18.0516192279742,457.187911185253,0
"Ties",431390,38.2166902905741,223.769592066523,50072.8303336183,0,1,7,27,13061,32.7909163623482,1519.60351657071,0
"Pairs",21281988,1885.36392629341,37512.0334876311,1407152656.37716,0,6,42,182,2185962,40.2494960368635,1895.11627079418,0
"Density",196614.147701,18.7913741470897,15.2775891557169,233.404730410879,0,8.333333,16.190475,25,100,1.28461083210921,5.52143551422489,NA
"nWeakComp",24432,2.16442239546421,4.27547511173068,18.2796874310285,0,1,1,2,202,19.7577663700994,624.516083935303,0
"pWeakComp",393841.102534,34.8902465037208,32.1347178251766,1032.64008970372,0,10,23.076923,50,100,1.01524149201371,2.73712109450321,0
